list-none-none,1,10,1,30,102515,3417
list-none-none,1,100,1,300,126257,420
list-none-none,1,1000,1,3000,3214238,1071
list-none-none,1,10000,1,30000,304976220,10165
list-none-none,1,20000,1,60000,1802468461,30041
list-none-none,2,1,1,6,143032,23838
list-none-none,2,10,1,60,158401,2640
list-none-none,2,100,1,600,147420,245
list-none-none,4,1,1,12,165953,13829
list-none-none,4,10,1,120,191532,1596
list-none-none,8,1,1,24,336691,14028
list-none-none,8,10,1,240,290203,1209
list-none-none,12,1,1,36,372018,10333
list-none-none,12,10,1,360,378692,1051
list-i-none,2,1,1,6,174140,29023
list-i-none,2,2,1,12,112259,9354
list-i-none,2,4,1,24,136215,5675
list-i-none,2,8,1,48,98175,2045
list-i-none,4,1,1,12,150078,12506
list-i-none,4,2,1,24,147262,6135
list-i-none,4,4,1,48,133510,2781
list-i-none,8,1,1,24,247923,10330
list-i-none,8,2,1,48,309551,6448
list-i-none,8,4,1,96,279985,2916
list-i-none,12,1,1,36,336268,9340
list-i-none,12,2,1,72,392668,5453
list-i-none,12,4,1,144,375276,2606
list-d-none,2,1,1,6,82083,13680
list-d-none,2,2,1,12,121909,10159
list-d-none,2,4,1,24,134423,5600
list-d-none,2,16,1,96,140526,1463
list-d-none,4,1,1,12,162500,13541
list-d-none,4,2,1,24,149959,6248
list-d-none,4,4,1,48,179537,3740
list-d-none,4,8,1,96,101802,1060
list-d-none,8,1,1,24,255227,10634
list-d-none,8,2,1,48,242331,5048
list-d-none,8,4,1,96,230622,2402
list-d-none,12,2,1,72,388355,5393
list-d-none,12,4,1,144,354823,2464
list-d-none,12,8,1,288,361693,1255
list-il-none,2,1,1,6,106226,17704
list-il-none,2,2,1,12,129062,10755
list-il-none,2,4,1,24,123787,5157
list-il-none,2,8,1,48,135498,2822
list-il-none,4,1,1,12,153842,12820
list-il-none,4,4,1,48,157305,3277
list-il-none,12,2,1,72,362226,5030
list-dl-none,2,1,1,6,83199,13866
list-dl-none,2,2,1,12,93270,7772
list-dl-none,2,8,1,48,129756,2703
list-dl-none,4,1,1,12,114901,9575
list-dl-none,4,2,1,24,123922,5163
list-dl-none,8,2,1,48,232198,4837
list-dl-none,8,4,1,96,221725,2309
list-dl-none,12,1,1,36,378235,10506
list-dl-none,12,2,1,72,309073,4292
list-i-m,2,1,1,6,86594,14432
list-i-m,2,2,1,12,100302,8358
list-i-m,2,4,1,24,91711,3821
list-i-m,2,8,1,48,151126,3148
list-i-m,2,16,1,96,175159,1824
list-i-m,2,32,1,192,386458,2012
list-i-m,4,1,1,12,132201,11016
list-i-m,4,2,1,24,120639,5026
list-i-m,4,4,1,48,137616,2867
list-i-m,4,8,1,96,239327,2492
list-i-m,4,16,1,192,291794,1519
list-i-m,4,32,1,384,574231,1495
list-i-m,8,1,1,24,223654,9318
list-i-m,8,2,1,48,262951,5478
list-i-m,8,4,1,96,261070,2719
list-i-m,8,8,1,192,397729,2071
list-i-m,8,16,1,384,687512,1790
list-i-m,8,32,1,768,1423703,1853
list-i-m,12,1,1,36,338832,9412
list-i-m,12,2,1,72,342786,4760
list-i-m,12,4,1,144,322977,2242
list-i-m,12,8,1,288,534566,1856
list-i-m,12,16,1,576,1056659,1834
list-i-m,12,32,1,1152,2186526,1898
list-i-s,2,1,1,6,78885,13147
list-i-s,2,2,1,12,122797,10233
list-i-s,2,4,1,24,96330,4013
list-i-s,2,8,1,48,140157,2919
list-i-s,2,16,1,96,166575,1735
list-i-s,2,32,1,192,197464,1028
list-i-s,4,1,1,12,124921,10410
list-i-s,4,2,1,24,140337,5847
list-i-s,4,4,1,48,150877,3143
list-i-s,4,8,1,96,166007,1729
list-i-s,4,16,1,192,238437,1241
list-i-s,4,32,1,384,421688,1098
list-i-s,8,1,1,24,268736,11197
list-i-s,8,2,1,48,258797,5391
list-i-s,8,4,1,96,302583,3151
list-i-s,8,8,1,192,322894,1681
list-i-s,8,16,1,384,509261,1326
list-i-s,8,32,1,768,716857,933
list-i-s,12,1,1,36,353172,9810
list-i-s,12,2,1,72,418020,5805
list-i-s,12,4,1,144,400628,2782
list-i-s,12,8,1,288,429644,1491
list-i-s,12,16,1,576,678753,1178
list-i-s,12,32,1,1152,1198532,1040
list-d-m,2,1,1,6,87176,14529
list-d-m,2,2,1,12,105953,8829
list-d-m,2,4,1,24,129709,5404
list-d-m,2,8,1,48,91950,1915
list-d-m,2,16,1,96,118921,1238
list-d-m,2,32,1,192,217029,1130
list-d-m,4,1,1,12,119217,9934
list-d-m,4,2,1,24,155373,6473
list-d-m,4,4,1,48,153805,3204
list-d-m,4,8,1,96,158071,1646
list-d-m,4,16,1,192,246005,1281
list-d-m,4,32,1,384,442254,1151
list-d-m,8,1,1,24,249332,10388
list-d-m,8,2,1,48,228647,4763
list-d-m,8,4,1,96,232213,2418
list-d-m,8,8,1,192,283347,1475
list-d-m,8,16,1,384,423161,1101
list-d-m,8,32,1,768,1158394,1508
list-d-m,12,1,1,36,380664,10574
list-d-m,12,2,1,72,388022,5389
list-d-m,12,4,1,144,406034,2819
list-d-m,12,8,1,288,359833,1249
list-d-m,12,16,1,576,410738,713
list-d-m,12,32,1,1152,1949694,1692
list-d-s,2,1,1,6,107271,17878
list-d-s,2,2,1,12,118245,9853
list-d-s,2,4,1,24,107401,4475
list-d-s,2,8,1,48,91692,1910
list-d-s,2,16,1,96,130516,1359
list-d-s,2,32,1,192,184783,962
list-d-s,4,1,1,12,143512,11959
list-d-s,4,2,1,24,186995,7791
list-d-s,4,4,1,48,139496,2906
